"X","Y","Org_Result"
-86.238125,37.405271,"GAS"
-86.237808,37.397803,"GAS"
-86.437034,37.478168,"GAS"
-86.358575,37.431274,"GAS"
-86.384688,37.418641,"GAS"
-86.571048,37.571911,"GAS"
-86.579176,37.569604,"GAS"
-86.565804,37.593821,"GAS"
-86.565786,37.591283,"GAS"
-86.566183,37.590665,"GAS"
-86.567616,37.589101,"GAS"
-85.522053,37.161809,"GAS"
-85.501546,37.234432,"GAS"
-85.57113,37.207965,"GAS"
-86.781172,37.751236,"GAS"
-83.201026,36.930793,"GAS"
-85.721815,37.175808,"GAS"
-85.718731,37.360007,"GAS"
-85.66663,37.420846,"GAS"
-85.66663,37.420846,"GAS"
-85.742218,37.424357,"GAS"
-87.702834,37.683608,"GAS"
-87.352365,37.164005,"GAS"
-87.393669,37.165788,"GAS"
-87.578184,37.195084,"GAS"
-87.580518,37.19011,"GAS"
-87.418724,37.170281,"GAS"
-87.394091,37.221132,"GAS"
-87.405834,37.190518,"GAS"
-87.565429,37.301593,"GAS"
-87.566702,37.252772,"GAS"
-87.451377,37.397597,"GAS"
-87.441774,37.394782,"GAS"
-87.464946,37.36907,"GAS"
-87.440133,37.419952,"GAS"
-87.440185,37.419911,"GAS"
-87.369111,37.460697,"GAS"
-87.369578,37.457357,"GAS"
-87.4146,37.425386,"GAS"
-87.403099,37.429269,"GAS"
-82.793046,37.780862,"GAS"
-82.792287,37.751236,"GAS"
-82.801349,37.751236,"GAS"
-82.74815,37.812917,"GAS"
-82.743825,37.793298,"GAS"
-82.989455,37.85778,"GAS"
-82.990678,37.853386,"GAS"
-82.774338,37.845178,"GAS"
-82.93871,37.970237,"GAS"
-82.93316,37.97537,"GAS"
-82.948223,37.947536,"GAS"
-82.949714,37.936581,"GAS"
-82.928827,37.919825,"GAS"
-82.87819,37.958328,"GAS"
-82.903699,37.939602,"GAS"
-82.884606,37.94446,"GAS"
-83.09233,37.273355,"GAS"
-83.087861,37.261545,"GAS"
-83.021711,37.331027,"GAS"
-82.882646,37.292534,"GAS"
-83.087809,37.41241,"GAS"
-83.091757,37.382193,"GAS"
-83.055508,37.404326,"GAS"
-83.050602,37.41241,"GAS"
-83.059094,37.391298,"GAS"
-83.062571,37.388703,"GAS"
-83.041447,37.399822,"GAS"
-83.010747,37.385201,"GAS"
-83.023057,37.378981,"GAS"
-83.024296,37.373492,"GAS"
-83.018447,37.375795,"GAS"
-82.97668,37.386933,"GAS"
-82.98088,37.392133,"GAS"
-82.981957,37.398627,"GAS"
-82.925543,37.392409,"GAS"
-82.924295,37.385492,"GAS"
-82.920681,37.398863,"GAS"
-82.920508,37.373082,"GAS"
-82.974208,37.369236,"GAS"
-82.978603,37.360419,"GAS"
-82.963594,37.361766,"GAS"
-82.96302,37.36609,"GAS"
-82.969074,37.349657,"GAS"
-82.969074,37.349657,"GAS"
-82.914515,37.402678,"GAS"
-82.90327,37.393958,"GAS"
-82.78287,37.412372,"GAS"
-82.789409,37.388515,"GAS"
-82.769559,37.395432,"GAS"
-83.09166,37.436972,"GAS"
-83.092597,37.417491,"GAS"
-83.009804,37.458593,"GAS"
-83.066935,37.434418,"GAS"
-83.069766,37.440749,"GAS"
-83.044035,37.441788,"GAS"
-83.048856,37.435489,"GAS"
-83.03546,37.44378,"GAS"
-83.03212,37.448998,"GAS"
-83.021721,37.445126,"GAS"
-83.015178,37.446554,"GAS"
-83.015178,37.446554,"GAS"
-83.026188,37.418452,"GAS"
-83.03107,37.42411,"GAS"
-83.045093,37.430244,"GAS"
-83.037724,37.421061,"GAS"
-83.037913,37.427841,"GAS"
-83.043519,37.418068,"GAS"
-83.058981,37.423601,"GAS"
-83.056543,37.433059,"GAS"
-83.053711,37.427634,"GAS"
-82.959435,37.429214,"GAS"
-83.833896,36.723451,"GAS"
-83.842973,36.712959,"GAS"
-83.915095,36.823638,"GAS"
-83.763887,36.821015,"GAS"
-83.76349,36.817829,"GAS"
-83.781186,36.833063,"GAS"
-83.772472,36.823098,"GAS"
-83.785342,36.832647,"GAS"
-83.791613,36.825029,"GAS"
-83.791133,36.829027,"GAS"
-83.825476,36.833306,"GAS"
-83.828336,36.823016,"GAS"
-83.774591,36.809773,"GAS"
-83.771197,36.805854,"GAS"
-83.828336,36.823016,"GAS"
-83.834571,36.845706,"GAS"
-83.803315,36.85217,"GAS"
-83.798489,36.854672,"GAS"
-83.793531,36.844338,"GAS"
-83.793388,36.841738,"GAS"
-83.792141,36.838827,"GAS"
-83.790673,36.843392,"GAS"
-83.78626,36.839751,"GAS"
-83.78945,36.840873,"GAS"
-83.798124,36.849926,"GAS"
-83.815153,36.835233,"GAS"
-83.800706,36.846873,"GAS"
-83.800443,36.844022,"GAS"
-83.803474,36.843253,"GAS"
-83.806766,36.841642,"GAS"
-83.802289,36.840667,"GAS"
-83.803816,36.849263,"GAS"
-83.810208,36.833416,"GAS"
-83.826841,36.834707,"GAS"
-83.831546,36.839957,"GAS"
-83.742914,36.840424,"GAS"
-84.070959,36.939395,"GAS"
-83.947331,36.940612,"GAS"
-83.926661,36.947858,"GAS"
-83.922008,36.949149,"GAS"
-83.922415,36.937536,"GAS"
-83.919021,36.940014,"GAS"
-83.911631,36.941849,"GAS"
-83.913753,36.944733,"GAS"
-83.914984,36.937542,"GAS"
-83.91584,36.922798,"GAS"
-84.130595,36.966255,"GAS"
-83.921224,37.165452,"GAS"
-83.960779,37.155363,"GAS"
-83.960418,37.150392,"GAS"
-83.955417,37.153935,"GAS"
-83.957647,37.155583,"GAS"
-83.970956,37.153072,"GAS"
-83.9751,37.144919,"GAS"
-83.966495,37.177154,"GAS"
-82.612837,37.908291,"GAS"
-82.617013,37.905218,"GAS"
-82.653204,37.89666,"GAS"
-82.804046,37.99398,"GAS"
-82.754739,38.001052,"GAS"
-82.6596,38.078479,"GAS"
-82.788917,38.129493,"GAS"
-82.759891,38.099039,"GAS"
-82.600402,38.203792,"GAS"
-82.60188,38.199055,"GAS"
-83.71365,37.573893,"GAS"
-83.716408,37.657472,"GAS"
-83.715976,37.654394,"GAS"
-83.475125,36.910075,"GAS"
-83.509905,36.966754,"GAS"
-83.483374,36.935481,"GAS"
-83.509217,37.027978,"GAS"
